FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR013,P. blochii,15-07-12,3,213,192,183.9,F,4,9.9,0,0.056896552,5.361292166,5.214392132,195.1229598,0.942482628
MR014,P. blochii,15-07-12,3,212,196,186.8,F,4,9.1,2,0.051209904,5.356586275,5.230038526,192.4932218,0.97042378
MR015,P. blochii,15-07-12,3,205,194,173,F,4,9.4,1,0.057457213,5.323009979,5.153291594,174.7308765,0.990094043
MR016,P. blochii,15-07-12,3,247,227,320,F,3,21,0,0.070234114,5.509388337,5.768320996,299.0619983,1.070012245
MR017,P. blochii,15-07-12,3,256,240,387,F,4,35,1,0.099431818,5.545177444,5.958424693,331.5721171,1.1671669
MR022,P. blochii,01-07-13,3,211,198,203.6,F,3,12,2,0.06263048,5.351858133,5.316157285,189.8867428,1.072218086
MR023,P. blochii,01-06-12,2,250,221,327.4,F,4,28.5,0,0.095349615,5.521460918,5.791182665,309.6556965,1.057303333
MR024,P. blochii,01-06-12,2,209,190,183.4,F,4,9.8,0,0.056451613,5.342334252,5.21166956,184.7431742,0.992729506
MR025,P. blochii,18-07-12,3,257,232,293,F,5,10.3,0,0.036434383,5.549076085,5.680172609,335.3204649,0.873790987
MR026,P. blochii,18-07-12,3,215,198,187,F,4,4.2,0,0.02297593,5.370638028,5.231108617,200.4526007,0.932888869
MR027,P. blochii,24-06-12,2,291,262,556.4,F,4,30.3,2,0.057593613,5.673323267,6.32148746,479.7865971,1.159682249
MR028,P. blochii,24-06-12,2,246,223,309.1,F,5,24.6,0,0.086467487,5.505331536,5.733664849,295.5841334,1.045725954
MR029,P. blochii,24-06-12,2,232,210,257,F,6,23.1,1,0.098760154,5.446737372,5.549076085,249.6357631,1.029499927
MR030,P. blochii,29-07-12,3,220,195,217,F,6,14.5,0,0.071604938,5.393627546,5.379897354,214.1905126,1.013116769
MR031,P. blochii,29-07-12,3,221,198,219,F,5,15.4,0,0.075638507,5.398162702,5.38907173,217.009807,1.009170982
MR032,P. blochii,29-07-12,3,215,195,218,F,6,18.1,0,0.090545273,5.370638028,5.384495063,200.4526007,1.087538896
MR035,P. blochii,18-07-12,3,258,237,348,F,4,19.3,0,0.058716155,5.552959585,5.85220248,339.0963831,1.026256891
MR036,P. blochii,18-07-12,3,273,249,408,F,3,15,1,0.038167939,5.609471795,6.011267174,399.1079269,1.022279871
MR037,P. blochii,19-03-16,1,244,220,320,F,5,17.2,1,0.05680317,5.497168225,5.768320996,288.7078841,1.108386773
MR038,P. blochii,15-07-12,3,205,185,182,F,2,5.4,1,0.030577576,5.323009979,5.204006687,174.7308765,1.041601826
MR039,P. blochii,18-04-12,2,215,200,198,F,4,11.3,0,0.060524906,5.370638028,5.288267031,200.4526007,0.987764685
MR040,P. blochii,18-04-12,2,210,190,202,F,5,19.4,0,0.106243154,5.347107531,5.308267697,187.3034259,1.07846399
MR049,P. blochii,15-07-12,3,210,189,186,F,4,9.7,0,0.055019853,5.347107531,5.225746674,187.3034259,0.993041099
MR052,P. blochii,12-08-12,3,195,176,123.6,F,2,1.4,0,0.011456628,5.272999559,4.817050545,151.2670371,0.817098043
MR055,P. blochii,01-07-13,3,248,227,306,F,5,19.5,0,0.068062827,5.513428746,5.723585102,302.5664836,1.011347973
MR057,P. blochii,26-08-12,3,245,223,273,F,5,12.5,0,0.047984645,5.501258211,5.609471795,292.1327937,0.934506518
MR058,P. blochii,15-09-12,3,232,210,230,F,4,8.2,0,0.036970243,5.446737372,5.438079309,249.6357631,0.921342348
MR059,P. blochii,01-07-13,3,205,186,175.7,F,5,6.5,0,0.038416076,5.323009979,5.168777995,174.7308765,1.005546378
MR060,P. blochii,01-07-13,3,211,195,208.9,F,6,13.3,0,0.06799591,5.351858133,5.341855669,189.8867428,1.100129461
MR061,P. blochii,28-07-12,3,238,215,245.2,F,4,8.8,1,0.037225042,5.472270674,5.502074204,268.7081144,0.912514312
MR064,P. blochii,12-09-12,3,231,207,245,F,5,13.4,0,0.057858377,5.442417711,5.501258211,246.545752,0.993730364
MR065,P. blochii,13-08-12,3,220,201,211,F,1,3.2,0,0.015399423,5.393627546,5.351858133,214.1905126,0.985104323
MR067,P. blochii,15-09-13,3,207,180,178,F,4,7.7,1,0.045214328,5.332718793,5.18178355,179.6914778,0.990586767
MR068,P. blochii,15-09-13,3,224,201,216.2,F,5,10.1,0,0.049005337,5.411646052,5.376203905,225.6128511,0.958278746
MR069,P. blochii,26-08-12,3,226,206,221,F,5,11.2,0,0.053384175,5.420534999,5.398162702,231.470145,0.954766758
MR070,P. blochii,15-09-13,3,218,198,217,F,6,12.9,0,0.063204312,5.384495063,5.379897354,208.6239256,1.040149155
MR071,P. blochii,26-08-12,3,220,195,187,F,2,5.5,0,0.03030303,5.393627546,5.231108617,214.1905126,0.873054543
MR072,P. blochii,24-07-13,3,232,208,209.6,F,5,11.3,0,0.056984367,5.446737372,5.345200952,249.6357631,0.839623287
MR157,P. blochii,24-07-13,3,234,218,227.1,F,4,9.3,1,0.042699725,5.455321115,5.425390449,255.8914426,0.887485715
MR162,P. blochii,29-07-12,3,229,209,257.9,F,5,10,0,0.040338846,5.433722004,5.552571913,240.4409076,1.07261282
MR163,P. blochii,24-07-13,3,273,246,429.5,F,5,37.7,0,0.096222563,5.609471795,6.062621741,399.1079269,1.076150011
MR164,P. blochii,16-07-13,3,237,211,247.1,F,3,5.5,1,0.022764901,5.468060141,5.509793113,265.465543,0.930817601
MR168,P. blochii,16-07-13,3,260,245,407.8,F,5,34,1,0.090957731,5.560681631,6.010776858,346.7313095,1.176126842
MR169,P. blochii,16-07-13,3,240,225,267,F,5,12,0,0.047058824,5.480638923,5.587248658,275.2706381,0.969954521
MR170,P. blochii,16-07-13,3,236,211,250.4,F,5,13.3,1,0.056094475,5.463831805,5.523059639,262.2486377,0.954819069
MR172,P. blochii,01-07-13,3,209,195,188.4,F,4,2.6,2,0.013993541,5.342334252,5.238567362,184.7431742,1.019794105
MR173,P. blochii,01-07-13,3,232,210,225.4,F,4,8.3,2,0.03823123,5.446737372,5.417876602,249.6357631,0.902915501
MR174,P. blochii,01-07-13,3,189,166,150.2,F,3,3.2,1,0.021768707,5.241747015,5.011967739,138.2319467,1.086579504
MR175,P. blochii,29-05-13,2,248,238,401.5,F,5,23.4,1,0.061888389,5.513428746,5.995207533,302.5664836,1.326981083
MR176,P. blochii,29-05-13,2,225,205,255,F,4,10.9,1,0.04465383,5.416100402,5.541263545,228.5292408,1.115830951
MR177,P. blochii,29-05-13,2,285,250,502.4,F,5,31.1,2,0.065987694,5.65248918,6.219396615,451.8129839,1.111964503
MR179,P. blochii,29-05-13,2,220,200,234,F,5,12.6,1,0.056910569,5.393627546,5.455321115,214.1905126,1.092485363
MR182,P. blochii,13-09-13,3,225,215,239,F,4,18.2,1,0.082427536,5.416100402,5.476463552,228.5292408,1.045818028
MR183,P. blochii,26-08-13,3,219,200,196,F,5,7.5,0,0.039787798,5.38907173,5.278114659,211.395251,0.927173146
MR184,P. blochii,26-08-13,3,282,258,394,F,6,18.4,1,0.048988285,5.641907071,5.976350909,438.2352442,0.899060505
MR185,P. blochii,26-08-13,3,235,210,287,F,6,11.1,0,0.040231968,5.459585514,5.659482216,259.0573028,1.107862997
MR186,P. blochii,26-08-13,3,245,223,270.9,F,5,17.5,0,0.069060773,5.501258211,5.601749749,292.1327937,0.927318007
MR188,P. blochii,13-09-13,3,251,232,312,F,4,12.1,0,0.040346782,5.525452939,5.743003188,313.2406143,0.996039421
MR189,P. blochii,26-08-13,3,256,229,333.8,F,5,11.8,0,0.036645963,5.545177444,5.810542011,331.5721171,1.00671915
MR191,P. blochii,26-08-13,3,253,232,311,F,4,18.1,0,0.061795835,5.533389489,5.739792912,320.4915477,0.970384405
MR192,P. blochii,26-08-13,3,265,240,367,F,3,5,0,0.013812155,5.579729826,5.905361848,366.3077339,1.001889849
MR193,P. blochii,26-08-13,3,262,234,334,F,6,24.9,0,0.080556454,5.568344504,5.811140993,354.4776537,0.942231468
MR195,P. blochii,26-08-13,3,220,201,211,F,5,8.1,0,0.039921143,5.393627546,5.351858133,214.1905126,0.985104323
MR198,P. blochii,26-08-13,3,239,214,246.7,F,3,9.3,0,0.039174389,5.476463552,5.508173024,271.9764476,0.907063837
MR200,P. blochii,26-08-13,3,250,228,313,F,3,8.9,1,0.029266689,5.521460918,5.746203191,309.6556965,1.010800071
MR201,P. blochii,13-09-13,3,237,203,279.5,F,5,16,0,0.060721063,5.468060141,5.633002293,265.465543,1.05286734
MR202,P. blochii,13-09-13,3,272,229,393.4,F,5,25.4,0,0.069021739,5.605802066,5.974826906,394.9071072,0.996183641
MR206,P. blochii,26-08-13,3,275,243,415.8,F,6,23.1,1,0.058823529,5.616771098,6.030204375,407.5969043,1.02012551
MR209,P. blochii,26-08-13,3,242,220,236,F,5,15.9,0,0.072239891,5.488937726,5.463831805,281.9369733,0.837066516
MR214,P. blochii,13-09-13,3,244,220,288.8,F,5,18.2,0,0.067257945,5.497168225,5.665734407,288.7078841,1.000319063
MR216,P. blochii,13-09-13,3,224,209,243.7,F,5,17.1,0,0.075463372,5.411646052,5.495937961,225.6128511,1.080168965
MR217,P. blochii,26-08-13,3,213,192,173,F,4,6.2,1,0.037170264,5.361292166,5.153291594,195.1229598,0.886620417
MR219,P. blochii,02-10-13,4,268,242,366.2,F,6,10.8,0,0.030388295,5.590986981,5.903179632,378.3927582,0.967777507
MR220,P. blochii,30-09-13,3,304,278,515.5,F,6,19.3,0,0.038895607,5.717027701,6.245137303,544.2229097,0.94722216
MR222,P. blochii,30-09-13,3,260,240,350.7,F,3,5.5,0,0.015932793,5.560681631,5.859931157,346.7313095,1.011446011
MR225,P. blochii,02-10-13,4,400,365,1234.5,F,5,54.3,1,0.046009151,5.991464547,7.118421309,1200.713229,1.028138918
MR226,P. blochii,30-09-13,3,239,219,268,F,3,3.1,0,0.011702529,5.476463552,5.590986981,271.9764476,0.985379442
MR227,P. blochii,30-09-13,3,242,219,279.9,F,4,7,1,0.025650421,5.488937726,5.634432397,281.9369733,0.992775075
MR230,P. blochii,02-10-13,4,248,227,292.1,F,6,10,0,0.035448423,5.513428746,5.677096209,302.5664836,0.965407657
MR233,P. blochii,24-07-13,3,273,250,430,F,5,28.2,2,0.070184171,5.609471795,6.063785209,399.1079269,1.077402805
MR234,P. blochii,24-07-13,3,240,215,259.8,F,5,13.8,1,0.056097561,5.480638923,5.559912104,275.2706381,0.943798444
MR237,P. blochii,02-10-13,4,240,211,287.6,F,4,18.2,1,0.067557535,5.480638923,5.661570626,275.2706381,1.044789964
MR243,P. blochii,22-07-13,3,196,175,120,F,2,2.3,0,0.019541206,5.278114659,4.787491743,153.5145929,0.781684644
MR244,P. blochii,02-10-13,4,241,217,292.3,F,4,15.4,,0.055615746,5.484796933,5.677780672,278.5907815,1.049209161
MR247,P. blochii,29-05-13,2,229,216,264.6,F,4,13.2,0,0.052505967,5.433722004,5.578219252,240.4409076,1.100478295
MR248,P. blochii,17-07-14,3,258,219,351,F,5,24,1,0.073394495,5.552959585,5.860786223,339.0963831,1.035103934
MR249,P. blochii,29-04-14,2,236,211,261.6,F,2,6.3,1,0.024676851,5.463831805,5.56681662,262.2486377,0.997526631
MR250,P. blochii,17-07-14,3,215,190,193.5,F,2,2.38,1,0.012452909,5.370638028,5.265277512,200.4526007,0.965315488
MR250,P. blochii,29-04-14,2,326,302,769.5,F,4,42,1,0.057731959,5.786897381,6.645740953,665.6881954,1.155946591
MR251,P. blochii,29-04-14,2,242,228,336,F,4,17,2,0.053291536,5.488937726,5.81711116,281.9369733,1.191755718
MR252,P. blochii,29-04-14,2,259,235,371,F,4,16.5,2,0.046544429,5.556828062,5.916202063,342.8999664,1.081948196
MR253,P. blochii,26-07-14,3,161,154,100.08,F,2,0.16,2,0.001601281,5.081404365,4.605969866,87.06026052,1.149548593
MR253,P. blochii,29-04-14,2,240,225,294.1,F,6,16.5,1,0.05943804,5.480638923,5.683919846,275.2706381,1.068403089
MR254,P. blochii,29-04-14,2,260,235,360.4,F,5,31,1,0.094110504,5.560681631,5.887214526,346.7313095,1.039421564
MR256,P. blochii,23-01-14,1,240,220,311,F,3,3.64,2,0.01184279,5.480638923,5.739792912,275.2706381,1.129797214
MR258,P. blochii,23-05-14,2,245,221,300,F,5,15.5,2,0.054481547,5.501258211,5.703782475,292.1327937,1.02693024
MR259,P. blochii,16-05-14,2,218,205,213.7,F,6,13.07,1,0.065144794,5.384495063,5.364573162,208.6239256,1.024331219
MR260,P. blochii,16-05-14,2,230,200,272.63,F,4,12.8,0,0.04926298,5.438079309,5.608115565,243.4808322,1.119718532
MR261,P. blochii,23-05-14,2,225,195,294.1,F,4,14.7,1,0.052612742,5.416100402,5.683919846,228.5292408,1.28692503
MR262,P. blochii,16-05-14,2,260,235,346.5,F,5,23.5,1,0.072755418,5.560681631,5.847882819,346.7313095,0.999332886
MR262,P. blochii,29-04-14,2,277,252,477.5,F,4,4.5,2,0.009513742,5.624017506,6.16856416,416.2029593,1.147276802
MR263,P. blochii,23-01-14,1,260,245,398.86,F,4,4.9,2,0.012437811,5.560681631,5.988610478,346.7313095,1.150343188
MR264,P. blochii,23-01-14,1,240,210,324.3,F,3,3.2,2,0.009965743,5.480638923,5.781669013,275.2706381,1.178113301
MR266,P. blochii,13-01-14,1,199,185,169.5,F,2,0.5,2,0.00295858,5.293304825,5.132852927,160.3878594,1.056813157
MR267,P. blochii,08-01-14,1,248,230,310.8,F,2,3.3,1,0.010731707,5.513428746,5.739149618,302.5664836,1.027212255
MR268,P. blochii,08-01-14,1,245,230,317.5,F,3,4.7,1,0.015025575,5.501258211,5.760477818,292.1327937,1.086834504
MR268,P. blochii,23-01-14,1,257,235,354.5,F,2,2.5,2,0.007102273,5.549076085,5.870708346,335.3204649,1.057197628
MR269,P. blochii,29-03-14,1,260,241,451.5,F,4,22.2,2,0.051712089,5.560681631,6.112575373,346.7313095,1.302161033
MR270,P. blochii,26-07-15,3,181,174,139.5,F,1,0.5,2,0.003597122,5.198497031,4.938064601,122.0249953,1.143208403
MR270,P. blochii,29-03-14,1,235,230,384.5,F,4,16,1,0.043419267,5.459585514,5.951943789,259.0573028,1.484227605
MR271,P. blochii,26-07-15,3,190,173,142,F,2,0.2,2,0.001410437,5.247024072,4.955827058,140.3513513,1.011746582
MR271,P. blochii,23-01-14,1,231,211,267.5,F,3,3,2,0.011342155,5.442417711,5.589119566,246.545752,1.084991316
MR272,P. blochii,23-01-14,1,231,211,267.5,F,3,3,2,0.011342155,5.442417711,5.589119566,246.545752,1.084991316
MR273,P. blochii,26-07-15,3,183,164,128.58,F,2,0.29,2,0.002260504,5.209486153,4.856551279,125.9533968,1.02085377
MR273,P. blochii,23-01-14,1,234,223,327,F,2,4.5,1,0.013953488,5.455321115,5.789960171,255.8914426,1.27788564
MR275,P. blochii,26-07-15,3,188,167,119.5,F,2,0.27,2,0.002264531,5.236441963,4.783316371,136.1335572,0.877814423
MR276,P. blochii,23-01-14,1,196,174,150,F,1,0.5,1,0.003344482,5.278114659,5.010635294,153.5145929,0.977105806
MR276,P. blochii,26-07-14,3,260,230,367,F,3,20.91,1,0.06041781,5.560681631,5.905361848,346.7313095,1.058456476
MR278,P. blochii,29-03-14,1,255,233,362.5,F,4,16.5,1,0.047687861,5.541263545,5.893024474,327.8512449,1.105684379
MR279,P. blochii,29-04-14,2,241,223,406.4,F,4,12.8,1,0.032520325,5.484796933,6.007337896,278.5907815,1.458770451
MR281,P. blochii,26-07-15,3,297,270,572,F,5,40.68,0,0.076564029,5.693732139,6.349138991,508.8678838,1.124063865
MR282,P. blochii,29-04-13,2,235,214,302,F,4,14.5,2,0.050434783,5.459585514,5.710427017,259.0573028,1.165765245
MR283,P. blochii,23-01-14,1,250,225,318,F,3,3,1,0.00952381,5.521460918,5.762051383,309.6556965,1.026947037
MR283,P. blochii,26-07-15,3,275,240,398.76,F,5,23.92,1,0.063813894,5.616771098,5.988359732,407.5969043,0.978319501
MR284,P. blochii,26-07-15,3,180,160,124.05,F,2,0.14,2,0.001129852,5.192956851,4.82068471,120.091185,1.032965076
MR285,P. blochii,26-07-15,3,179,158,119.36,F,2,0.97,1,0.00819326,5.187385806,4.782144136,118.1775033,1.010006106
MR286,P. blochii,16-06-14,2,254,234,328.5,F,4,17,0,0.054574639,5.537334267,5.794536838,324.1577534,1.013395474
MR288,P. blochii,23-01-14,1,264,241,398,F,4,6.5,2,0.01660281,5.575949103,5.986452005,362.3361726,1.098427455
MR290,P. blochii,26-07-14,3,175,162,115,F,1,0.24,2,0.002091321,5.164785974,4.744932128,110.7220859,1.038636502
MR291,P. blochii,26-07-15,3,190,170,109.5,F,2,0.28,1,0.002563633,5.247024072,4.695924549,140.3513513,0.780184865
MR291,P. blochii,29-03-14,1,190,170,139,F,2,0.5,2,0.003610108,5.247024072,4.934473933,140.3513513,0.990371655
MR292,P. blochii,29-03-14,1,211,199,217.5,F,2,8.5,1,0.040669856,5.351858133,5.382198851,189.8867428,1.145419616
MR294,P. blochii,16-06-14,2,260,225,268,F,4,11,0,0.042801556,5.560681631,5.590986981,346.7313095,0.772932795
MR296,P. blochii,26-07-14,3,180,170,123,F,2,0.23,3,0.001873422,5.192956851,4.812184355,120.091185,1.02422172
MR297,P. blochii,26-07-15,3,170,,129.9,F,1,0.1,2,0.000770416,5.135798437,4.866764924,101.8438311,1.275482261
MR305,P. blochii,18-03-16,1,197,180,167,F,1,0,0,0,5.283203729,5.117993812,155.7838501,1.071998156
MR306,P. blochii,18-03-16,1,217,174,208,F,2,1,2,0.004830918,5.379897354,5.33753808,205.8764398,1.010314731
MR308,P. blochii,18-03-16,1,204,187,162,F,2,0.01,2,6.17322E-05,5.318119994,5.087596335,172.2844935,0.94030517
MR309,P. blochii,18-03-16,1,225,206,208,F,1,0.7,2,0.003376749,5.416100402,5.33753808,228.5292408,0.910167991
MR313,P. blochii,27-04-16,2,196,184,150,F,2,1,1,0.006711409,5.278114659,5.010635294,153.5145929,0.977105806
MR315,P. blochii,30-05-16,2,205,190,185,F,2,1,1,0.005434783,5.323009979,5.220355825,174.7308765,1.058771086
MR322,P. blochii,22-06-16,2,303,283,557,F,6,28,1,0.052930057,5.713732806,6.32256524,539.0769957,1.033247578
MR324,P. blochii,22-06-16,2,210,169,177,F,2,1.5,2,0.008547009,5.347107531,5.176149733,187.3034259,0.944990724
MR325,P. blochii,19-04-15,2,227,184,244,F,5,14.5,0,0.063180828,5.424950017,5.497168225,234.4356602,1.040797291
MR327,P. blochii,30-05-16,2,309,280,638,F,5,47,1,0.079526227,5.733341277,6.458338283,570.4340373,1.118446583
MR328,P. blochii,22-06-16,2,174,156,96,F,2,0.01,1,0.000104178,5.159055299,4.564348191,108.9075639,0.881481474
MR329,P. blochii,22-06-16,2,171,157,91,F,1,0.1,0,0.00110011,5.141663557,4.510859507,103.5808096,0.878541115
MR330,P. blochii,22-06-16,2,230,211,241,F,2,1.5,2,0.006263048,5.438079309,5.484796933,243.4808322,0.989810975
MR332,P. blochii,22-06-16,2,152,142,74,F,1,0.2,0,0.002710027,5.023880521,4.304065093,73.7540633,1.003334551
MR333,P. blochii,19-04-15,2,280,259,485,F,4,29,2,0.063596491,5.634789603,6.184148891,429.3332069,1.129658718
MR334,P. blochii,19-04-15,2,284,265,545.5,F,5,32.5,1,0.063352827,5.648974238,6.301702805,447.2569878,1.219656741
MR336,P. blochii,30-05-16,2,287,257,481,F,5,23,0,0.050218341,5.659482216,6.17586727,461.0156927,1.043348432
MR340,P. blochii,30-05-16,2,195,183,186.5,F,2,1,1,0.005390836,5.272999559,5.228431239,151.2670371,1.232918973
MR341,P. blochii,30-05-16,2,218,171,202,F,3,7,0,0.035897436,5.384495063,5.308267697,208.6239256,0.968249444
MR342,P. blochii,30-05-16,2,235,210,247,F,4,19,1,0.083333333,5.459585514,5.509388337,259.0573028,0.953457005
MR343,P. blochii,30-05-16,2,230,205,253,F,2,1,1,0.003968254,5.438079309,5.533389489,243.4808322,1.039096169
MR346,P. blochii,27-04-16,2,203,187,177,F,2,1,1,0.005681818,5.313205979,5.176149733,169.8605924,1.042030982
MR350,P. blochii,27-04-16,2,281,255,512,F,6,46,0,0.098712446,5.638354669,6.238324625,433.7693091,1.180350913
MR351,P. blochii,18-03-16,1,150,137,71,F,1,0.2,1,0.002824859,5.010635294,4.262679877,70.9904073,1.000135127
MR358,P. blochii,18-03-16,1,201,190,190,F,2,0.5,3,0.002638522,5.303304908,5.247024072,165.0798466,1.150958181
MR359,P. blochii,18-03-16,1,205,185,185,F,2,1,3,0.005434783,5.323009979,5.220355825,174.7308765,1.058771086
MR366,P. blochii,18-03-16,1,169,154,96,F,2,0.2,0,0.002087683,5.129898715,4.564348191,100.1259902,0.958792016
MR367,P. blochii,19-07-12,3,192,177,151,F,2,0.2,1,0.00132626,5.257495372,5.017279837,144.6535988,1.043873096
MR368,P. blochii,18-03-16,1,206,190,181,F,2,0,2,0,5.327876169,5.198497031,177.1998389,1.021445624
MR372,P. blochii,27-04-16,2,197,184,157,F,2,7.6,2,0.050870147,5.283203729,5.056245805,155.7838501,1.007806649
MR375,P. blochii,15-02-17,1,315,296,660,F,4,30.5,2,0.048451152,5.752572639,6.492239835,602.9590667,1.094601668
MR377,P. blochii,21-03-17,1,310,290,549,F,4,11,0,0.020446097,5.736572297,6.308098442,575.7732243,0.953500401
MR379,P. blochii,21-03-17,1,278,259,354,F,3,7.2,0,0.020761246,5.627621114,5.869296913,420.5501259,0.841754593
MR381,P. blochii,15-02-17,1,301,279,551.5,F,6,21.9,1,0.041351964,5.707110265,6.312641839,528.8807359,1.042768176
MR388,P. blochii,15-02-17,1,301,279,611,F,4,13.5,2,0.022594142,5.707110265,6.415096959,528.8807359,1.15526991
MR389,P. blochii,06-07-17,3,281,252,425.5,F,5,19.5,1,0.048029557,5.638354669,6.053264948,433.7693091,0.980936159
MR391,P. blochii,06-07-17,3,285,260,421.5,F,5,18,0,0.044609665,5.65248918,6.043819777,451.8129839,0.932908117
MR392,P. blochii,26-10-16,4,274,252,378,F,7,13.6,1,0.037321625,5.613128106,5.934894196,403.3378279,0.937179639
MR393,P. blochii,26-10-17,4,240,215,253,F,1,0.05,2,0.000197668,5.480638923,5.533389489,275.2706381,0.919095483
MR396,P. blochii,15-02-17,1,283,251,471,F,3,7.5,1,0.01618123,5.645446898,6.154858094,442.7311058,1.063851159
MR401,P. blochii,21-03-17,1,235,213,257,F,2,4.5,0,0.017821782,5.459585514,5.549076085,259.0573028,0.992058503
MR407,P. blochii,26-10-16,4,136,128,50.5,F,1,0.2,0,0.003976143,4.912654886,3.921973336,53.51851835,0.943598619
MR409,P. blochii,18-12-16,4,202,183,156,F,2,1,1,0.006451613,5.308267697,5.049856007,167.459076,0.931570887
MR413,P. blochii,15-02-17,1,195,174,153,F,2,0.8,0,0.005256242,5.272999559,5.030437921,151.2670371,1.011456315
MR414,P. blochii,26-10-16,4,177,165,117.8,F,2,0.26,1,0.002212013,5.176149733,4.768988271,114.4101306,1.029629101
MR415,P. blochii,06-07-17,3,202,185,156,F,3,1,2,0.006451613,5.308267697,5.049856007,167.459076,0.931570887
MR417,P. blochii,06-12-16,4,170,158,107,F,2,0.3,2,0.002811621,5.135798437,4.672828834,101.8438311,1.05062819
MR418,P. blochii,21-03-17,1,221,202,208,F,3,4,1,0.019607843,5.398162702,5.33753808,217.009807,0.958482028
MR421,P. blochii,15-02-17,1,202,182,159,F,1,1,1,0.006329114,5.308267697,5.068904202,167.459076,0.949485712
